Contry code,Product name,Value
AU,"Secondary copper for treatment, Re-processing of secondary copper into new copper",1
AU,Other non-ferrous metal products,1
AU,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",1
AU,Foundry work services,1
AU,"Fabricated metal products, except machinery and equipment (28)",1
AU,Machinery and equipment n.e.c. (29),1
AU,Office machinery and computers (30),1
AU,Electrical machinery and apparatus n.e.c. (31),1
AU,"Radio, television and communication equipment and apparatus (32)",1
AU,"Medical, precision and optical instruments, watches and clocks (33)",1
AU,"Motor vehicles, trailers and semi-trailers (34)",1
AU,Other transport equipment (35),1
AU,"Furniture, other manufactured goods n.e.c. (36)",1
AU,Secondary raw materials,1
AU,"Bottles for treatment, Recycling of bottles by direct reuse",1
AU,Electricity by coal,0.689454283
AU,Electricity by gas,0.925721188
AU,Electricity by nuclear,0
AU,Electricity by hydro,0.917358105
AU,Electricity by wind,4.774475736
AU,Electricity by petroleum and other oil derivatives,1.517874686
AU,Electricity by biomass and waste,1.943700029
AU,Electricity by solar photovoltaic,40.55713766
AU,Electricity by solar thermal,40.55713766
AU,"Electricity by tide, wave, ocean",0
AU,Electricity by Geothermal,0
AU,Electricity nec,0
AU,Transmission services of electricity,1
AU,Distribution and trade services of electricity,1
AU,Biogas an other gases nec.,1
AU,Distribution services of gaseous fuels through mains,1
AU,Steam and hot water supply services,1
AU,"Collected and purified water, distribution services of water (41)",1
AU,Construction work (45),1
AU,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",1
AU,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1
AU,Retail trade services of motor fuel,1
AU,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1
AU,"Retail  trade services, except of motor vehicles and motorcycles, repair services of personal and household goods (52)",1
AU,Hotel and restaurant services (55),1
AU,Railway transportation services,1
AU,Other land transportation services,1
AU,Transportation services via pipelines,1
AU,Sea and coastal water transportation services,1
AU,Inland water transportation services,1
AU,Air transport services (62),1
AU,"Supporting and auxiliary transport services, travel agency services (63)",1
AU,Post and telecommunication services (64),1
AU,"Financial intermediation services, except insurance and pension funding services (65)",1
AU,"Insurance and pension funding services, except compulsory social security services (66)",1
AU,Services auxiliary to financial intermediation (67),1
AU,Real estate services (70),1
AU,Renting services of machinery and equipment without operator and of personal and household goods (71),1
AU,Computer and related services (72),1
AU,Research and development services (73),1
AU,Other business services (74),1
AU,"Public administration and defence services, compulsory social security services (75)",1
AU,Education services (80),1
AU,Health and social work services (85),1
AU,Food waste for treatment: incineration,1
AU,Paper waste for treatment: incineration,1
AU,Plastic waste for treatment: incineration,1
AU,Intert/metal waste for treatment: incineration,1
AU,Textiles waste for treatment: incineration,1
AU,Wood waste for treatment: incineration,1
AU,Oil/hazardous waste for treatment: incineration,1
AU,Food waste for treatment: biogasification and land application,1
AU,Paper waste for treatment: biogasification and land application,1
AU,Sewage sludge for treatment: biogasification and land application,1
AU,Food waste for treatment: composting and land application,1
AU,Paper and wood waste for treatment: composting and land application,1
AU,Food waste for treatment: waste water treatment,1
AU,Other waste for treatment: waste water treatment,1
AU,Food waste for treatment: landfill,1
AU,Paper for treatment: landfill,1
AU,Plastic waste for treatment: landfill,1
AU,Inert/metal/hazardous waste for treatment: landfill,1
AU,Textiles waste for treatment: landfill,1
AU,Wood waste for treatment: landfill,1
AU,Membership organisation services n.e.c. (91),1
AU,"Recreational, cultural and sporting services (92)",1
AU,Other services (93),1
AU,Private households with employed persons (95),1
AU,Extra-territorial organizations and bodies,1
AT,Paddy rice,1
AT,Wheat,1
AT,Cereal grains nec,1
AT,"Vegetables, fruit, nuts",1
AT,Oil seeds,1
AT,"Sugar cane, sugar beet",1
AT,Plant-based fibers,1
AT,Crops nec,1
AT,Cattle,1
AT,Pigs,1
AT,Poultry,1
AT,Meat animals nec,1
AT,Animal products nec,1
AT,Raw milk,1
AT,"Wool, silk-worm cocoons",1
AT,Manure (conventional treatment),1
AT,Manure (biogas treatment),1
AT,"Products of forestry, logging and related services (02)",1
AT,"Fish and other fishing products, services incidental of fishing (05)",1
AT,"Coal, lignite and peat",1
AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",1
AT,"Natural gas and services related to natural gas extraction, excluding surveying, inclulding liquid gas",1
AT,Other Hydrocarbons,1
AT,Uranium and thorium ores (12),1
AT,Iron ores,1
AT,Copper ores and concentrates,1
AT,Nickel ores and concentrates,1
AT,Aluminium ores and concentrates,1
AT,Precious metal ores and concentrates,1
AT,"Lead, zinc and tin ores and concentrates",1
AT,Other non-ferrous metal ores and concentrates,1
AT,Stone,1
AT,Sand and clay,1
AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1
AT,Products of meat cattle,1
AT,Products of meat pigs,1
AT,Products of meat poultry,1
AT,Meat products nec,1
AT,products of Vegetable oils and fats,1
AT,Dairy products,1
AT,Processed rice,1
AT,Sugar,1
AT,Food products nec,1
AT,Beverages,1
AT,Fish products,1
AT,Tobacco products (16),1
AT,Textiles (17),1
AT,"Wearing apparel, furs (18)",1
AT,Leather and leather products (19),1
AT,"Wood and products of wood and cork (except furniture), articles of straw and plaiting materials (20)",1
AT,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1
AT,Pulp,1
AT,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1
AT,Paper and paper products,1
AT,Printed matter and recorded media (22),1
AT,Coke oven products,1
AT, Refined Petroleum,1
AT,Nuclear fuel,1
AT,"Plastics, basic",1
AT,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1
AT,N-fertiliser,1
AT,P- and other fertiliser,1
AT,"Chemicals nec, additives and biofuels",1
AT,Rubber and plastic products (25),1
AT,Glass and glass products,1
AT,"Secondary glass for treatment, Re-processing of secondary glass into new glass",1
AT,Ceramic goods,1
AT,"Bricks, tiles and construction products, in baked clay",1
AT,"Cement, lime and plaster",1
AT,"Ash for treatment, Re-processing of ash into clinker",1
AT,Other non-metallic mineral products,1
AT,Basic iron and steel and of ferro-alloys and first products thereof,1
AT,"Secondary steel for treatment, Re-processing of secondary steel into new steel",1
AT,Precious metals,1
AT,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",1
AT,Aluminium and aluminium products,1
AT,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",1
AT,"Lead, zinc and tin and products thereof",1
AT,"Secondary lead for treatment, Re-processing of secondary lead into new lead",1
AT,Copper products,1
AT,"Secondary copper for treatment, Re-processing of secondary copper into new copper",1
AT,Other non-ferrous metal products,1
AT,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",1
AT,Foundry work services,1
AT,"Fabricated metal products, except machinery and equipment (28)",1
AT,Machinery and equipment n.e.c. (29),1
AT,Office machinery and computers (30),1
AT,Electrical machinery and apparatus n.e.c. (31),1
AT,"Radio, television and communication equipment and apparatus (32)",1
AT,"Medical, precision and optical instruments, watches and clocks (33)",1
AT,"Motor vehicles, trailers and semi-trailers (34)",1
AT,Other transport equipment (35),1
AT,"Furniture, other manufactured goods n.e.c. (36)",1
AT,Secondary raw materials,1
AT,"Bottles for treatment, Recycling of bottles by direct reuse",1
AT,Electricity by coal,0
AT,Electricity by gas,0.855574922
AT,Electricity by nuclear,0
AT,Electricity by hydro,0.860713967
AT,Electricity by wind,3.160358927
AT,Electricity by petroleum and other oil derivatives,5.292385756
AT,Electricity by biomass and waste,2.156351692
AT,Electricity by solar photovoltaic,18.31424725
AT,Electricity by solar thermal,0
AT,"Electricity by tide, wave, ocean",0
AT,Electricity by Geothermal,0
AT,Electricity nec,0
AT,Transmission services of electricity,1
AT,Distribution and trade services of electricity,1
AT,Biogas an other gases nec.,1
AT,Distribution services of gaseous fuels through mains,1
AT,Steam and hot water supply services,1
AT,"Collected and purified water, distribution services of water (41)",1
AT,Construction work (45),1
AT,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",1
AT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1
AT,Retail trade services of motor fuel,1
AT,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1
AT,"Retail  trade services, except of motor vehicles and motorcycles, repair services of personal and household goods (52)",1
AT,Hotel and restaurant services (55),1
AT,Railway transportation services,1
AT,Other land transportation services,1
AT,Transportation services via pipelines,1
AT,Sea and coastal water transportation services,1
AT,Inland water transportation services,1
AT,Air transport services (62),1
AT,"Supporting and auxiliary transport services, travel agency services (63)",1
AT,Post and telecommunication services (64),1
AT,"Financial intermediation services, except insurance and pension funding services (65)",1
AT,"Insurance and pension funding services, except compulsory social security services (66)",1
AT,Services auxiliary to financial intermediation (67),1
AT,Real estate services (70),1
AT,Renting services of machinery and equipment without operator and of personal and household goods (71),1
AT,Computer and related services (72),1
AT,Research and development services (73),1
AT,Other business services (74),1
AT,"Public administration and defence services, compulsory social security services (75)",1
AT,Education services (80),1
AT,Health and social work services (85),1
AT,Food waste for treatment: incineration,1
AT,Paper waste for treatment: incineration,1
AT,Plastic waste for treatment: incineration,1
AT,Intert/metal waste for treatment: incineration,1
AT,Textiles waste for treatment: incineration,1
AT,Wood waste for treatment: incineration,1
AT,Oil/hazardous waste for treatment: incineration,1
AT,Food waste for treatment: biogasification and land application,1
AT,Paper waste for treatment: biogasification and land application,1
AT,Sewage sludge for treatment: biogasification and land application,1
AT,Food waste for treatment: composting and land application,1
AT,Paper and wood waste for treatment: composting and land application,1
AT,Food waste for treatment: waste water treatment,1
AT,Other waste for treatment: waste water treatment,1
AT,Food waste for treatment: landfill,1
AT,Paper for treatment: landfill,1
AT,Plastic waste for treatment: landfill,1
AT,Inert/metal/hazardous waste for treatment: landfill,1
AT,Textiles waste for treatment: landfill,1
AT,Wood waste for treatment: landfill,1
AT,Membership organisation services n.e.c. (91),1
AT,"Recreational, cultural and sporting services (92)",1
AT,Other services (93),1
AT,Private households with employed persons (95),1
AT,Extra-territorial organizations and bodies,1
BE,Paddy rice,1
BE,Wheat,1
BE,Cereal grains nec,1
BE,"Vegetables, fruit, nuts",1
BE,Oil seeds,1
BE,"Sugar cane, sugar beet",1
BE,Plant-based fibers,1
BE,Crops nec,1
BE,Cattle,1
BE,Pigs,1
BE,Poultry,1
BE,Meat animals nec,1
BE,Animal products nec,1
BE,Raw milk,1
BE,"Wool, silk-worm cocoons",1
BE,Manure (conventional treatment),1
BE,Manure (biogas treatment),1
BE,"Products of forestry, logging and related services (02)",1
BE,"Fish and other fishing products, services incidental of fishing (05)",1
BE,"Coal, lignite and peat",1
BE,"Crude petroleum and services related to crude oil extraction, excluding surveying",1
BE,"Natural gas and services related to natural gas extraction, excluding surveying, inclulding liquid gas",1
BE,Other Hydrocarbons,1
BE,Uranium and thorium ores (12),1
BE,Iron ores,1
BE,Copper ores and concentrates,1
BE,Nickel ores and concentrates,1
BE,Aluminium ores and concentrates,1
BE,Precious metal ores and concentrates,1
BE,"Lead, zinc and tin ores and concentrates",1
BE,Other non-ferrous metal ores and concentrates,1
BE,Stone,1
BE,Sand and clay,1
BE,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1
BE,Products of meat cattle,1
BE,Products of meat pigs,1
BE,Products of meat poultry,1
BE,Meat products nec,1
BE,products of Vegetable oils and fats,1
BE,Dairy products,1
BE,Processed rice,1
BE,Sugar,1
BE,Food products nec,1
BE,Beverages,1
BE,Fish products,1
BE,Tobacco products (16),1
BE,Textiles (17),1
BE,"Wearing apparel, furs (18)",1
BE,Leather and leather products (19),1
BE,"Wood and products of wood and cork (except furniture), articles of straw and plaiting materials (20)",1
BE,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1
BE,Pulp,1
BE,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1
BE,Paper and paper products,1
BE,Printed matter and recorded media (22),1
BE,Coke oven products,1
BE, Refined Petroleum,1
BE,Nuclear fuel,1
BE,"Plastics, basic",1
BE,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1
BE,N-fertiliser,1
BE,P- and other fertiliser,1
BE,"Chemicals nec, additives and biofuels",1
BE,Rubber and plastic products (25),1
BE,Glass and glass products,1
BE,"Secondary glass for treatment, Re-processing of secondary glass into new glass",1
BE,Ceramic goods,1
BE,"Bricks, tiles and construction products, in baked clay",1
BE,"Cement, lime and plaster",1
BE,"Ash for treatment, Re-processing of ash into clinker",1
BE,Other non-metallic mineral products,1
BE,Basic iron and steel and of ferro-alloys and first products thereof,1
BE,"Secondary steel for treatment, Re-processing of secondary steel into new steel",1
BE,Precious metals,1
BE,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",1
BE,Aluminium and aluminium products,1
BE,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",1
BE,"Lead, zinc and tin and products thereof",1
BE,"Secondary lead for treatment, Re-processing of secondary lead into new lead",1
BE,Copper products,1
BE,"Secondary copper for treatment, Re-processing of secondary copper into new copper",1
BE,Other non-ferrous metal products,1
BE,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",1
BE,Foundry work services,1
BE,"Fabricated metal products, except machinery and equipment (28)",1
BE,Machinery and equipment n.e.c. (29),1
BE,Office machinery and computers (30),1
BE,Electrical machinery and apparatus n.e.c. (31),1
BE,"Radio, television and communication equipment and apparatus (32)",1
BE,"Medical, precision and optical instruments, watches and clocks (33)",1
BE,"Motor vehicles, trailers and semi-trailers (34)",1
BE,Other transport equipment (35),1
BE,"Furniture, other manufactured goods n.e.c. (36)",1
BE,Secondary raw materials,1
BE,"Bottles for treatment, Recycling of bottles by direct reuse",1
BE,Electricity by coal,0
BE,Electricity by gas,0.869510157
BE,Electricity by nuclear,0.756280169
BE,Electricity by hydro,1.192429419
BE,Electricity by wind,4.570360818
BE,Electricity by petroleum and other oil derivatives,21.36626119
BE,Electricity by biomass and waste,1.862930663
BE,Electricity by solar photovoltaic,5.676887231
BE,Electricity by solar thermal,0
BE,"Electricity by tide, wave, ocean",0
BE,Electricity by Geothermal,0
BE,Electricity nec,0
BE,Transmission services of electricity,1
BE,Distribution and trade services of electricity,1
BE,Biogas an other gases nec.,1
BE,Distribution services of gaseous fuels through mains,1
BE,Steam and hot water supply services,1
BE,"Collected and purified water, distribution services of water (41)",1
BE,Construction work (45),1
BE,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",1
BE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1
BE,Retail trade services of motor fuel,1
BE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1
BE,"Retail  trade services, except of motor vehicles and motorcycles, repair services of personal and household goods (52)",1
BE,Hotel and restaurant services (55),1
BE,Railway transportation services,1
BE,Other land transportation services,1
BE,Transportation services via pipelines,1
BE,Sea and coastal water transportation services,1
BE,Inland water transportation services,1
BE,Air transport services (62),1
BE,"Supporting and auxiliary transport services, travel agency services (63)",1
BE,Post and telecommunication services (64),1
BE,"Financial intermediation services, except insurance and pension funding services (65)",1
BE,"Insurance and pension funding services, except compulsory social security services (66)",1
BE,Services auxiliary to financial intermediation (67),1
BE,Real estate services (70),1
BE,Renting services of machinery and equipment without operator and of personal and household goods (71),1
BE,Computer and related services (72),1
BE,Research and development services (73),1
BE,Other business services (74),1
BE,"Public administration and defence services, compulsory social security services (75)",1
BE,Education services (80),1
BE,Health and social work services (85),1
BE,Food waste for treatment: incineration,1
BE,Paper waste for treatment: incineration,1
BE,Plastic waste for treatment: incineration,1
BE,Intert/metal waste for treatment: incineration,1
BE,Textiles waste for treatment: incineration,1
BE,Wood waste for treatment: incineration,1
BE,Oil/hazardous waste for treatment: incineration,1
BE,Food waste for treatment: biogasification and land application,1
BE,Paper waste for treatment: biogasification and land application,1
BE,Sewage sludge for treatment: biogasification and land application,1
BE,Food waste for treatment: composting and land application,1
BE,Paper and wood waste for treatment: composting and land application,1
BE,Food waste for treatment: waste water treatment,1
BE,Other waste for treatment: waste water treatment,1
BE,Food waste for treatment: landfill,1
BE,Paper for treatment: landfill,1
BE,Plastic waste for treatment: landfill,1
BE,Inert/metal/hazardous waste for treatment: landfill,1
BE,Textiles waste for treatment: landfill,1
BE,Wood waste for treatment: landfill,1
BE,Membership organisation services n.e.c. (91),1
BE,"Recreational, cultural and sporting services (92)",1
BE,Other services (93),1
BE,Private households with employed persons (95),1
BE,Extra-territorial organizations and bodies,1
BR,Paddy rice,1
BR,Wheat,1
BR,Cereal grains nec,1
BR,"Vegetables, fruit, nuts",1
BR,Oil seeds,1
BR,"Sugar cane, sugar beet",1
BR,Plant-based fibers,1
BR,Crops nec,1
BR,Cattle,1
BR,Pigs,1
BR,Poultry,1
BR,Meat animals nec,1
BR,Animal products nec,1
BR,Raw milk,1
BR,"Wool, silk-worm cocoons",1
BR,Manure (conventional treatment),1
BR,Manure (biogas treatment),1
BR,"Products of forestry, logging and related services (02)",1
BR,"Fish and other fishing products, services incidental of fishing (05)",1
BR,"Coal, lignite and peat",1
BR,"Crude petroleum and services related to crude oil extraction, excluding surveying",1
BR,"Natural gas and services related to natural gas extraction, excluding surveying, inclulding liquid gas",1
BR,Other Hydrocarbons,1
BR,Uranium and thorium ores (12),1
BR,Iron ores,1
BR,Copper ores and concentrates,1
BR,Nickel ores and concentrates,1
BR,Aluminium ores and concentrates,1
BR,Precious metal ores and concentrates,1
BR,"Lead, zinc and tin ores and concentrates",1
BR,Other non-ferrous metal ores and concentrates,1
BR,Stone,1
BR,Sand and clay,1
BR,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1
BR,Products of meat cattle,1
BR,Products of meat pigs,1
BR,Products of meat poultry,1
BR,Meat products nec,1
BR,products of Vegetable oils and fats,1
BR,Dairy products,1
BR,Processed rice,1
BR,Sugar,1
BR,Food products nec,1
BR,Beverages,1
BR,Fish products,1
BR,Tobacco products (16),1
BR,Textiles (17),1
BR,"Wearing apparel, furs (18)",1
BR,Leather and leather products (19),1
BR,"Wood and products of wood and cork (except furniture), articles of straw and plaiting materials (20)",1
BR,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1
BR,Pulp,1
BR,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1
BR,Paper and paper products,1
BR,Printed matter and recorded media (22),1
BR,Coke oven products,1
BR, Refined Petroleum,1
BR,Nuclear fuel,1
BR,"Plastics, basic",1
BR,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1
BR,N-fertiliser,1
BR,P- and other fertiliser,1
BR,"Chemicals nec, additives and biofuels",1
BR,Rubber and plastic products (25),1
BR,Glass and glass products,1
BR,"Secondary glass for treatment, Re-processing of secondary glass into new glass",1
BR,Ceramic goods,1
BR,"Bricks, tiles and construction products, in baked clay",1
BR,"Cement, lime and plaster",1
BR,"Ash for treatment, Re-processing of ash into clinker",1
BR,Other non-metallic mineral products,1
BR,Basic iron and steel and of ferro-alloys and first products thereof,1
BR,"Secondary steel for treatment, Re-processing of secondary steel into new steel",1
BR,Precious metals,1
BR,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",1
BR,Aluminium and aluminium products,1
BR,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",1
BR,"Lead, zinc and tin and products thereof",1
BR,"Secondary lead for treatment, Re-processing of secondary lead into new lead",1
BR,Copper products,1
BR,"Secondary copper for treatment, Re-processing of secondary copper into new copper",1
BR,Other non-ferrous metal products,1
BR,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",1
BR,Foundry work services,1
BR,"Fabricated metal products, except machinery and equipment (28)",1
BR,Machinery and equipment n.e.c. (29),1
BR,Office machinery and computers (30),1
BR,Electrical machinery and apparatus n.e.c. (31),1
BR,"Radio, television and communication equipment and apparatus (32)",1
BR,"Medical, precision and optical instruments, watches and clocks (33)",1
BR,"Motor vehicles, trailers and semi-trailers (34)",1
BR,Other transport equipment (35),1
BR,"Furniture, other manufactured goods n.e.c. (36)",1
BR,Secondary raw materials,1
BR,"Bottles for treatment, Recycling of bottles by direct reuse",1
BR,Electricity by coal,1.700433787
BR,Electricity by gas,1.064388704
BR,Electricity by nuclear,0.727198374
BR,Electricity by hydro,0.779865447
BR,Electricity by wind,23.60333738
BR,Electricity by petroleum and other oil derivatives,0.655555945
BR,Electricity by biomass and waste,1.430459447
BR,Electricity by solar photovoltaic,0
BR,Electricity by solar thermal,0
BR,"Electricity by tide, wave, ocean",0
BR,Electricity by Geothermal,0
BR,Electricity nec,0
BR,Transmission services of electricity,1
BR,Distribution and trade services of electricity,1
BR,Biogas an other gases nec.,1
BR,Distribution services of gaseous fuels through mains,1
BR,Steam and hot water supply services,1
BR,"Collected and purified water, distribution services of water (41)",1
BR,Construction work (45),1
BR,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",1
BR,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1
BR,Retail trade services of motor fuel,1
BR,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1
BR,"Retail  trade services, except of motor vehicles and motorcycles, repair services of personal and household goods (52)",1
BR,Hotel and restaurant services (55),1
BR,Railway transportation services,1
BR,Other land transportation services,1
BR,Transportation services via pipelines,1
BR,Sea and coastal water transportation services,1
BR,Inland water transportation services,1
BR,Air transport services (62),1
BR,"Supporting and auxiliary transport services, travel agency services (63)",1
BR,Post and telecommunication services (64),1
BR,"Financial intermediation services, except insurance and pension funding services (65)",1
BR,"Insurance and pension funding services, except compulsory social security services (66)",1
BR,Services auxiliary to financial intermediation (67),1
BR,Real estate services (70),1
BR,Renting services of machinery and equipment without operator and of personal and household goods (71),1
BR,Computer and related services (72),1
BR,Research and development services (73),1
BR,Other business services (74),1
BR,"Public administration and defence services, compulsory social security services (75)",1
BR,Education services (80),1
BR,Health and social work services (85),1
BR,Food waste for treatment: incineration,1
BR,Paper waste for treatment: incineration,1
BR,Plastic waste for treatment: incineration,1
BR,Intert/metal waste for treatment: incineration,1
BR,Textiles waste for treatment: incineration,1
BR,Wood waste for treatment: incineration,1
BR,Oil/hazardous waste for treatment: incineration,1
BR,Food waste for treatment: biogasification and land application,1
BR,Paper waste for treatment: biogasification and land application,1
BR,Sewage sludge for treatment: biogasification and land application,1
BR,Food waste for treatment: composting and land application,1
BR,Paper and wood waste for treatment: composting and land application,1
BR,Food waste for treatment: waste water treatment,1
BR,Other waste for treatment: waste water treatment,1
BR,Food waste for treatment: landfill,1
BR,Paper for treatment: landfill,1
BR,Plastic waste for treatment: landfill,1
BR,Inert/metal/hazardous waste for treatment: landfill,1
BR,Textiles waste for treatment: landfill,1
BR,Wood waste for treatment: landfill,1
BR,Membership organisation services n.e.c. (91),1
BR,"Recreational, cultural and sporting services (92)",1
BR,Other services (93),1
BR,Private households with employed persons (95),1
BR,Extra-territorial organizations and bodies,1
BG,Paddy rice,1
BG,Wheat,1
BG,Cereal grains nec,1
BG,"Vegetables, fruit, nuts",1
BG,Oil seeds,1
BG,"Sugar cane, sugar beet",1
BG,Plant-based fibers,1
BG,Crops nec,1
BG,Cattle,1
BG,Pigs,1
BG,Poultry,1
BG,Meat animals nec,1
BG,Animal products nec,1
BG,Raw milk,1
BG,"Wool, silk-worm cocoons",1
BG,Manure (conventional treatment),1
BG,Manure (biogas treatment),1
BG,"Products of forestry, logging and related services (02)",1
BG,"Fish and other fishing products, services incidental of fishing (05)",1
BG,"Coal, lignite and peat",1
BG,"Crude petroleum and services related to crude oil extraction, excluding surveying",1
BG,"Natural gas and services related to natural gas extraction, excluding surveying, inclulding liquid gas",1
BG,Other Hydrocarbons,1
BG,Uranium and thorium ores (12),1
BG,Iron ores,1
BG,Copper ores and concentrates,1
BG,Nickel ores and concentrates,1
BG,Aluminium ores and concentrates,1
BG,Precious metal ores and concentrates,1
BG,"Lead, zinc and tin ores and concentrates",1
BG,Other non-ferrous metal ores and concentrates,1
BG,Stone,1
BG,Sand and clay,1
BG,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1
BG,Products of meat cattle,1
BG,Products of meat pigs,1
BG,Products of meat poultry,1
BG,Meat products nec,1
BG,products of Vegetable oils and fats,1
BG,Dairy products,1
BG,Processed rice,1
BG,Sugar,1
BG,Food products nec,1
BG,Beverages,1
BG,Fish products,1
BG,Tobacco products (16),1
BG,Textiles (17),1
BG,"Wearing apparel, furs (18)",1
BG,Leather and leather products (19),1
BG,"Wood and products of wood and cork (except furniture), articles of straw and plaiting materials (20)",1
BG,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1
BG,Pulp,1
BG,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1
BG,Paper and paper products,1
BG,Printed matter and recorded media (22),1
